id,title,latitude,longitude,locality,address,gender,available_for,transit_score,lifestyle_score,occupancy,rent,deposit,attached_bathroom,food_included,breakfast,lunch,dinner,mess,wifi,laundry,power_backup,refrigerator,common_tv,room_cleaning,warden,cooking_allowed,parking,total_bathrooms,room_ac,room_cupboard,room_tv,room_geyser,room_bedding,room_attached_bath,gate_closing_time,smoking_allowed,guardian_required,nonveg_allowed
8a9f93517430318a0174333d03800f10,PG for Girls in Sholinganallur,12.909549615747915,80.2294317460327,OMR-Karappakam,"Sholinganallur  Near Saravana Stores The Crown Mall, Sholinganallur, Sholinganallur, chennai",FEMALE,Both,,,THREE,8500,8500,False,True,True,True,True,,,,,,,,,,Bike,0,True,False,False,False,False,False,,False,False,False
8a9f93517430318a0174333d03800f10,PG for Girls in Sholinganallur,12.909549615747915,80.2294317460327,OMR-Karappakam,"Sholinganallur  Near Saravana Stores The Crown Mall, Sholinganallur, Sholinganallur, chennai",FEMALE,Both,,,FOUR,8000,8000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,True,False,False,False,,False,False,False
8a9fbb83961da77101961e0cb7ad1a74,PG for Girls in Karapakkam,12.915901630173757,80.22926756494373,OMR-Karappakam,"Rajiv Gandhi Salai near GRT Jewellers, Karapakkam, OMR, Karapakkam, Karapakkam, chennai",FEMALE,Both,6.4,5.8,DOUBLE,8000,5000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8a9fbb83961da77101961e0cb7ad1a74,PG for Girls in Karapakkam,12.915901630173757,80.22926756494373,OMR-Karappakam,"Rajiv Gandhi Salai near GRT Jewellers, Karapakkam, OMR, Karapakkam, Karapakkam, chennai",FEMALE,Both,6.4,5.8,THREE,7500,5000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8a9fbb83961da77101961e0cb7ad1a74,PG for Girls in Karapakkam,12.915901630173757,80.22926756494373,OMR-Karappakam,"Rajiv Gandhi Salai near GRT Jewellers, Karapakkam, OMR, Karapakkam, Karapakkam, chennai",FEMALE,Both,6.4,5.8,FOUR,6000,5000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8aa9af659d0068f5019d00c0feeb2440,PG for Girls in Karapakkam,12.910895993679848,80.23188657249145,OMR-Karappakam,"Sadagopan St near to Park, Karapakkam, Karapakkam, Karapakkam, chennai",FEMALE,Working Professional,5.9,6.0,THREE,8500,3000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8aa9af659d0068f5019d00c0feeb2440,PG for Girls in Karapakkam,12.910895993679848,80.23188657249145,OMR-Karappakam,"Sadagopan St near to Park, Karapakkam, Karapakkam, Karapakkam, chennai",FEMALE,Working Professional,5.9,6.0,FOUR,8000,3000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8aa9b6ce9d61dd6a019d61e6854f02e6,PG for Girls in Karapakkam,12.915957341405909,80.22927857030032,OMR-Karappakam,"OMR near GRT Jewellers - OMR, Karapakkam, Karapakkam, Karapakkam, chennai",FEMALE,Both,,,THREE,8000,3000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8aa9b6ce9d61dd6a019d61e6854f02e6,PG for Girls in Karapakkam,12.915957341405909,80.22927857030032,OMR-Karappakam,"OMR near GRT Jewellers - OMR, Karapakkam, Karapakkam, Karapakkam, chennai",FEMALE,Both,,,FOUR,7500,3000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8a9f85038ca5489c018ca57e395e254d,PG for Girls in Karapakkam,12.91591931008185,80.22927322279655,OMR-Karappakam,"Muthamizh Nagar, near GRT Jewellers, Karapakkam, OMR, Karapakkam, Karapakkam, chennai",FEMALE,Both,,,DOUBLE,13000,5000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8a9f85038ca5489c018ca57e395e254d,PG for Girls in Karapakkam,12.91591931008185,80.22927322279655,OMR-Karappakam,"Muthamizh Nagar, near GRT Jewellers, Karapakkam, OMR, Karapakkam, Karapakkam, chennai",FEMALE,Both,,,THREE,9500,5000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8a9f85038ca5489c018ca57e395e254d,PG for Girls in Karapakkam,12.91591931008185,80.22927322279655,OMR-Karappakam,"Muthamizh Nagar, near GRT Jewellers, Karapakkam, OMR, Karapakkam, Karapakkam, chennai",FEMALE,Both,,,FOUR,7800,5000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8aa9d3129de79b1c019de7b14f490939,PG for Girls in Sholinganallur,12.908454939419196,80.23031491660234,OMR-Karappakam,", Laxmi Nagar Extension near SAS WOMEN'S HOSTEL, Sholinganallur, Sholinganallur, chennai",FEMALE,Both,,,THREE,6000,3000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,False,False,False
8aa997389ff92ed0019ff9c5db9363a4,PG for Girls in Karapakkam,12.911081445771226,80.22949405987,OMR-Karappakam," avvaiyar strret thangabalu engeneering sree geetha ladies pg, karapakkam, karapakkam, chennai",FEMALE,Both,6.0,6.3,THREE,0,0,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,True,True,False
8aa997389ff92ed0019ff9c5db9363a4,PG for Girls in Karapakkam,12.911081445771226,80.22949405987,OMR-Karappakam," avvaiyar strret thangabalu engeneering sree geetha ladies pg, karapakkam, karapakkam, chennai",FEMALE,Both,6.0,6.3,FOUR,6000,6000,False,True,True,True,True,,,,,,,,,,Bike,0,False,False,False,False,False,False,,True,True,False
8aa9ab179f75a570019f7627389935a3,"PG for Girls in Navarathana Apartment, River View Residency 2nd St, Karapakkam, Chennai, Tamil Nadu 600097, India",12.918476845696235,80.22742476314306,Karapakkam,"svs ladies hostel . 8 , Navarathana Apartment, River View Residency 2nd St, Karapakkam, Chennai, Tamil Nadu 600097, India, Navarathana Apartment, River View Residency 2nd St, Karapakkam, Chennai, Tamil Nadu 600097, India, chennai",FEMALE,Both,6.9,8.1,SINGLE,15000,10000,False,False,False,False,False,False,True,True,False,True,True,True,False,True,Car,0,True,True,True,False,True,True,,True,False,False
8aa9ab179f75a570019f7627389935a3,"PG for Girls in Navarathana Apartment, River View Residency 2nd St, Karapakkam, Chennai, Tamil Nadu 600097, India",12.918476845696235,80.22742476314306,Karapakkam,"svs ladies hostel . 8 , Navarathana Apartment, River View Residency 2nd St, Karapakkam, Chennai, Tamil Nadu 600097, India, Navarathana Apartment, River View Residency 2nd St, Karapakkam, Chennai, Tamil Nadu 600097, India, chennai",FEMALE,Both,6.9,8.1,DOUBLE,8500,10000,False,False,False,False,False,False,True,True,False,True,True,True,False,True,Car,0,True,True,True,False,True,True,,True,False,False
8aa9ab179f75a570019f7627389935a3,"PG for Girls in Navarathana Apartment, River View Residency 2nd St, Karapakkam, Chennai, Tamil Nadu 600097, India",12.918476845696235,80.22742476314306,Karapakkam,"svs ladies hostel . 8 , Navarathana Apartment, River View Residency 2nd St, Karapakkam, Chennai, Tamil Nadu 600097, India, Navarathana Apartment, River View Residency 2nd St, Karapakkam, Chennai, Tamil Nadu 600097, India, chennai",FEMALE,Both,6.9,8.1,THREE,8000,10000,False,False,False,False,False,False,True,True,False,True,True,True,False,True,Car,0,True,True,True,False,True,True,,True,False,False
ff80818160204e9b016020fcf61d62f3,PG for Girls in Karappakam,12.911119,80.229148,OMR-Karappakam,"Old Mahabalipuram Rd,  Near The Chennai Mobiles, Karappakam, Karappakam, chennai",FEMALE,Both,,,DOUBLE,13500,13500,False,True,True,True,True,True,False,False,False,False,True,True,False,True,Bike,47,True,False,False,False,False,False,,True,True,False
ff8081816d29d362016d2b09daf42db0,PG for Girls in Karappakam,12.915899884798216,80.22935096504703,OMR-Karappakam,"Old Mahabalipuram Rd, , GRT Jewellers back side6th street river view ias colony , Karappakam, Karappakam, chennai",FEMALE,Working Professional,,,THREE,8000,5000,False,True,True,True,True,,,,,,,,,,Bike and Car,0,True,False,False,False,False,False,,False,False,False
ff8081816d29d362016d2b09daf42db0,PG for Girls in Karappakam,12.915899884798216,80.22935096504703,OMR-Karappakam,"Old Mahabalipuram Rd, , GRT Jewellers back side6th street river view ias colony , Karappakam, Karappakam, chennai",FEMALE,Working Professional,,,FOUR,8000,3000,False,True,True,True,True,,,,,,,,,,Bike and Car,0,True,False,False,False,False,False,,False,False,False
